visit_id,pet_id,provider_id,clinic_id,visit_date,visit_type,visit_status
600001,50001,9001,5001,2024-04-08,Vaccination,Cancelled
600002,50002,9002,5001,2025-06-30,Wellness Exam,Completed
600003,50003,9003,5001,2024-08-03,Emergency,Completed
600004,50004,9004,5001,2025-12-02,Surgery,Completed
600005,50005,9005,5001,2024-07-29,Dental,Completed
600006,50006,9006,5002,2025-10-24,Grooming,Completed
600007,50007,9007,5002,2025-12-03,Vaccination,Completed
600008,50008,9008,5002,2025-04-15,Emergency,Completed
600009,50009,9009,5002,2024-02-08,Wellness Exam,Completed
600010,50010,9010,5002,2024-02-25,Vaccination,Completed
600011,50011,9001,5003,2025-07-25,Wellness Exam,Scheduled
600012,50012,9002,5003,2024-08-21,Sick Visit,Completed
600013,50013,9003,5003,2025-02-01,Surgery,Completed
600014,50014,9004,5003,2025-03-19,Sick Visit,Completed
600015,50015,9005,5003,2025-02-02,Emergency,Completed
600016,50016,9006,5004,2025-07-01,Wellness Exam,Scheduled
600017,50017,9007,5004,2024-03-05,Grooming,Scheduled
600018,50018,9008,5004,2024-02-16,Emergency,Completed
600019,50019,9009,5004,2025-01-01,Dental,Completed
600020,50020,9010,5004,2024-10-23,Grooming,Completed
600021,50021,9001,5005,2025-09-13,Wellness Exam,Completed
600022,50022,9002,5005,2025-03-24,Surgery,Completed
600023,50023,9003,5005,2025-11-07,Wellness Exam,Completed
600024,50024,9004,5005,2024-06-09,Dental,Completed
600025,50025,9005,5005,2024-05-19,Emergency,Completed
600026,50026,9006,5006,2025-07-12,Sick Visit,Completed
600027,50027,9007,5006,2024-11-01,Emergency,Completed
600028,50028,9008,5006,2024-01-12,Dental,No-Show
600029,50029,9009,5006,2024-05-24,Wellness Exam,Completed
600030,50030,9010,5006,2024-01-06,Dental,Scheduled
600031,50031,9001,5007,2025-02-07,Dental,No-Show
600032,50032,9002,5007,2024-03-28,Sick Visit,Completed
600033,50033,9003,5007,2024-12-18,Vaccination,Completed
600034,50034,9004,5007,2025-10-23,Grooming,Cancelled
600035,50035,9005,5007,2024-05-25,Vaccination,Completed
600036,50036,9006,5008,2024-08-14,Dental,Completed
600037,50037,9007,5008,2024-07-17,Wellness Exam,Completed
600038,50038,9008,5008,2025-11-18,Grooming,No-Show
600039,50039,9009,5008,2024-02-25,Grooming,No-Show
600040,50040,9010,5008,2025-04-17,Emergency,No-Show
600041,50041,9001,5009,2024-03-15,Sick Visit,Completed
600042,50042,9002,5009,2024-09-13,Wellness Exam,Completed
600043,50043,9003,5009,2025-08-17,Surgery,Completed
600044,50044,9004,5009,2024-12-31,Vaccination,Completed
600045,50045,9005,5009,2024-04-12,Sick Visit,Scheduled
600046,50046,9006,5010,2024-03-12,Vaccination,Completed
600047,50047,9007,5010,2025-05-12,Surgery,Completed
600048,50048,9008,5010,2025-09-23,Emergency,Completed
600049,50049,9009,5010,2025-12-11,Dental,Completed
600050,50050,9010,5010,2025-08-02,Dental,Completed
600051,50051,9001,5011,2024-11-19,Surgery,Completed
600052,50052,9002,5011,2024-01-05,Sick Visit,Completed
600053,50053,9003,5011,2024-08-14,Emergency,Completed
600054,50054,9004,5011,2024-10-10,Grooming,Completed
600055,50055,9005,5011,2024-05-17,Emergency,Completed
600056,50056,9006,5012,2025-05-06,Surgery,Completed
600057,50057,9007,5012,2025-01-02,Grooming,Completed
600058,50058,9008,5012,2025-05-13,Dental,Completed
600059,50059,9009,5012,2024-06-28,Emergency,Scheduled
600060,50060,9010,5012,2024-03-24,Grooming,Completed
600061,50001,9001,5001,2024-05-23,Dental,Completed
600062,50002,9002,5001,2024-09-26,Emergency,Completed
600063,50003,9003,5001,2024-03-18,Wellness Exam,Completed
600064,50004,9004,5001,2025-10-08,Wellness Exam,Scheduled
600065,50005,9005,5001,2025-08-15,Surgery,Scheduled
600066,50006,9006,5002,2024-08-05,Wellness Exam,No-Show
600067,50007,9007,5002,2024-09-23,Dental,Cancelled
600068,50008,9008,5002,2025-04-28,Emergency,Completed
600069,50009,9009,5002,2025-01-09,Surgery,Completed
600070,50010,9010,5002,2025-08-26,Emergency,Completed
600071,50011,9001,5003,2024-05-17,Surgery,Completed
600072,50012,9002,5003,2025-06-06,Wellness Exam,Completed
600073,50013,9003,5003,2025-01-07,Dental,Completed
600074,50014,9004,5003,2025-11-09,Vaccination,Scheduled
600075,50015,9005,5003,2025-12-01,Vaccination,Cancelled
600076,50016,9006,5004,2024-05-23,Surgery,Completed
600077,50017,9007,5004,2024-07-02,Dental,No-Show
600078,50018,9008,5004,2025-11-06,Grooming,Completed
600079,50019,9009,5004,2025-05-10,Sick Visit,Completed
600080,50020,9010,5004,2024-08-12,Grooming,Completed
